epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.277,0.59609,3.15239,0.94524,0.00333,1,0.41497,0.37342,0.47565,3.23542,0.803,2e-05,2e-05,2e-05
2,21.7889,0.6905,3.03807,1.01257,0.00333,1,0.8069,0.78088,0.41753,3.02486,0.80181,5.802e-05,5.802e-05,5.802e-05
3,31.3936,0.61315,2.72449,0.96133,0.00333,1,0.995,0.87937,0.47037,2.84219,0.78255,9.34e-05,9.34e-05,9.34e-05
4,40.6597,0.47389,1.98517,0.88279,0.00333,1,0.995,0.83567,0.51612,2.73521,0.78274,0.00012614,0.00012614,0.00012614
5,49.7855,0.66963,1.64395,0.95052,0.06866,1,0.995,0.87146,0.46855,2.56002,0.77398,0.00015624,0.00015624,0.00015624
6,59.2402,0.55288,1.27826,0.91831,1,0.73981,0.995,0.87153,0.56755,2.33022,0.79399,0.0001837,0.0001837,0.0001837
7,67.9125,0.59383,1.09591,0.919,0.95243,1,0.995,0.87553,0.51874,2.17897,0.79774,0.00020852,0.00020852,0.00020852
8,76.3682,0.59989,1.09714,0.86188,0.94078,1,0.995,0.85963,0.59625,2.11468,0.81247,0.0002307,0.0002307,0.0002307
9,84.8205,0.61254,1.10687,0.95292,0.96344,1,0.995,0.85963,0.58651,2.09239,0.80879,0.00025024,0.00025024,0.00025024
10,92.9281,0.50912,0.96133,0.85441,0.96913,1,0.995,0.86616,0.50681,2.11479,0.78644,0.00026714,0.00026714,0.00026714
11,100.919,0.59263,1.16366,0.91679,0.96251,1,0.995,0.9004,0.46067,2.16397,0.77503,0.0002814,0.0002814,0.0002814
12,108.884,0.5539,0.99493,0.87581,0.94413,1,0.995,0.91503,0.50563,2.27735,0.78583,0.00029302,0.00029302,0.00029302
13,116.858,0.53514,1.02758,0.87531,0.96084,1,0.995,0.91503,0.5002,2.33696,0.787,0.000302,0.000302,0.000302
14,124.831,0.57038,1.00683,0.90955,1,0.9916,0.995,0.90528,0.46225,2.4134,0.78047,0.00030834,0.00030834,0.00030834
15,132.788,0.45965,0.96798,0.87813,1,0.95825,0.995,0.90203,0.45994,2.38585,0.78049,0.00031204,0.00031204,0.00031204
16,140.648,0.57652,1.02535,0.92111,0.93462,1,0.995,0.8955,0.50559,2.25634,0.78475,0.0003131,0.0003131,0.0003131
17,148.627,0.49873,0.96,0.86382,0.95885,1,0.995,0.8955,0.54662,2.07769,0.7915,0.00031152,0.00031152,0.00031152
18,156.548,0.59213,0.97724,0.92248,0.96289,1,0.995,0.87153,0.53668,1.90202,0.7876,0.0003073,0.0003073,0.0003073
19,164.557,0.47664,0.88396,0.8863,0.96965,1,0.995,0.89943,0.51488,1.7697,0.78127,0.00030044,0.00030044,0.00030044
20,172.534,0.58094,0.99525,0.92097,0.97331,1,0.995,0.90528,0.46821,1.67208,0.77319,0.00029094,0.00029094,0.00029094
21,180.668,0.43855,1.2473,0.83848,0.97267,1,0.995,0.93504,0.43896,1.66229,0.77231,0.0002788,0.0002788,0.0002788
22,188.787,0.41982,1.18676,0.80002,0.97112,1,0.995,0.93504,0.44647,1.69128,0.77437,0.00026402,0.00026402,0.00026402
23,196.732,0.45664,1.21584,0.82976,0.96502,1,0.995,0.93504,0.44099,1.7552,0.7734,0.0002466,0.0002466,0.0002466
24,204.819,0.39777,1.20293,0.82769,0.96188,1,0.995,0.93504,0.39984,1.79823,0.77069,0.00022654,0.00022654,0.00022654
25,212.732,0.39529,1.21112,0.75311,0.96239,1,0.995,0.93387,0.39623,1.8097,0.77004,0.00020384,0.00020384,0.00020384
26,220.657,0.38564,1.21313,0.80823,0.9649,1,0.995,0.89943,0.4116,1.78516,0.77173,0.0001785,0.0001785,0.0001785
27,228.664,0.42104,1.21014,0.79401,0.96847,1,0.995,0.89943,0.41488,1.71644,0.77143,0.00015052,0.00015052,0.00015052
28,236.551,0.39621,1.2072,0.75738,0.96847,1,0.995,0.89943,0.41488,1.71644,0.77143,0.0001199,0.0001199,0.0001199
29,244.437,0.40541,1.18624,0.77233,0.97306,1,0.995,0.90203,0.41549,1.64412,0.77004,8.664e-05,8.664e-05,8.664e-05
30,252.302,0.38047,1.17363,0.8124,0.97722,1,0.995,0.91134,0.41345,1.57003,0.76901,5.074e-05,5.074e-05,5.074e-05
